ticker,fecha,tipo_activo,ret_1d,zscore,vol_ratio,rsi_14,dias_consec,n_alcistas,magnitud,dias_rec,recup_5d,ret_5d,recup_10d,ret_10d,recup_20d,ret_20d,recup_60d,ret_60d,bucket_vol,bucket_rsi,bucket_streak,tipo_x_mag
SPY,2016-06-24,ETF,-3.591,-4.613,3.185,38.6,0,2,Moderada (-3% a -5%),14.0,0.0,3.29,1.0,5.0,1.0,6.6,1.0,5.54,Muy alto (>2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2018-02-05,ETF,-4.182,-5.45,2.676,29.1,2,2,Moderada (-3% a -5%),21.0,0.0,0.53,0.0,2.83,0.0,3.39,0.0,0.12,Muy alto (>2.5x),Sobrevendido (<30),1-2 días bajando,ETF | Moderada (-3% a -5%)
SPY,2018-02-08,ETF,-3.751,-3.942,1.768,28.8,1,2,Moderada (-3% a -5%),6.0,1.0,5.98,1.0,6.63,1.0,8.24,1.0,4.02,Alto (1.5-2.5x),Sobrevendido (<30),1-2 días bajando,ETF | Moderada (-3% a -5%)
SPY,2018-10-10,ETF,-3.166,-5.396,2.742,23.6,1,2,Moderada (-3% a -5%),162.0,0.0,0.77,0.0,-4.66,0.0,0.97,0.0,-7.2,Muy alto (>2.5x),Sobrevendido (<30),1-2 días bajando,ETF | Moderada (-3% a -5%)
SPY,2018-10-24,ETF,-3.03,-3.523,1.502,24.6,4,1,Moderada (-3% a -5%),13.0,0.0,2.0,1.0,5.91,0.0,-0.11,0.0,-0.14,Alto (1.5-2.5x),Sobrevendido (<30),3-4 días bajando,ETF | Moderada (-3% a -5%)
SPY,2018-12-04,ETF,-3.24,-2.599,1.767,46.7,0,1,Moderada (-3% a -5%),77.0,0.0,-1.77,0.0,-7.03,0.0,-6.06,1.0,3.85,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2019-08-05,ETF,-3.007,-3.541,2.816,28.0,5,2,Moderada (-3% a -5%),3.0,0.0,1.5,0.0,3.0,0.0,2.44,1.0,7.33,Muy alto (>2.5x),Sobrevendido (<30),5+ días bajando,ETF | Moderada (-3% a -5%)
SPY,2020-02-24,ETF,-3.317,-4.384,2.272,37.3,2,2,Moderada (-3% a -5%),163.0,0.0,-4.13,0.0,-14.95,0.0,-30.44,0.0,-8.91,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ETF | Moderada (-3% a -5%)
SPY,2020-02-25,ETF,-3.03,-3.502,2.819,28.7,3,2,Moderada (-3% a -5%),104.0,0.0,-3.97,0.0,-7.75,0.0,-21.77,0.0,-4.47,Muy alto (>2.5x),Sobrevendido (<30),3-4 días bajando,ETF | Moderada (-3% a -5%)
SPY,2020-02-27,ETF,-4.491,-4.24,2.97,20.3,5,1,Moderada (-3% a -5%),6.0,0.0,1.66,0.0,-16.6,0.0,-11.69,0.0,-0.11,Muy alto (>2.5x),Sobrevendido (<30),5+ días bajando,ETF | Moderada (-3% a -5%)
SPY,2020-03-05,ETF,-3.324,-2.32,1.324,38.2,0,1,Moderada (-3% a -5%),90.0,0.0,-17.97,0.0,-20.48,0.0,-16.25,0.0,1.62,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2020-03-09,ETF,-7.809,-4.37,1.911,26.8,2,1,Fuerte (-5% a -10%),72.0,0.0,-12.54,0.0,-18.22,0.0,-2.85,1.0,14.51,Alto (1.5-2.5x),Sobrevendido (<30),1-2 días bajando,ETF | Fuerte (-5% a -10%)
SPY,2020-03-11,ETF,-4.875,-2.37,1.39,32.3,0,1,Moderada (-3% a -5%),47.0,0.0,-12.52,0.0,-9.52,0.0,0.47,1.0,17.08,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2020-03-12,ETF,-9.568,-3.984,1.951,25.6,1,1,Fuerte (-5% a -10%),27.0,0.0,-3.06,0.0,5.89,1.0,12.79,1.0,31.03,Alto (1.5-2.5x),Sobrevendido (<30),1-2 días bajando,ETF | Fuerte (-5% a -10%)
SPY,2020-03-16,ETF,-10.942,-3.598,1.313,30.1,0,1,Extrema (>-10%),23.0,0.0,-6.5,0.0,9.73,1.0,19.02,1.0,33.78,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ETF | Extrema (>-10%)
SPY,2020-06-11,ETF,-5.765,-2.327,2.11,49.0,2,2,Fuerte (-5% a -10%),33.0,0.0,3.72,0.0,2.69,0.0,6.11,1.0,14.46,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ETF | Fuerte (-5% a -10%)
SPY,2020-09-03,ETF,-3.441,-2.841,2.604,57.7,0,3,Moderada (-3% a -5%),69.0,0.0,-3.28,0.0,-3.88,0.0,-2.96,1.0,5.25,Muy alto (>2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2020-10-28,ETF,-3.418,-2.802,1.792,35.6,2,2,Moderada (-3% a -5%),7.0,1.0,5.17,1.0,9.19,1.0,11.02,1.0,17.99,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ETF | Moderada (-3% a -5%)
SPY,2022-04-29,ETF,-3.696,-2.36,1.567,35.3,0,0,Moderada (-3% a -5%),5.0,0.0,-0.16,0.0,-2.5,0.0,0.79,0.0,-2.24,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2022-05-05,ETF,-3.554,-2.157,1.645,40.2,0,0,Moderada (-3% a -5%),102.0,0.0,-5.19,0.0,-5.88,0.0,-0.79,0.0,-0.96,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2022-05-18,ETF,-4.031,-2.293,0.949,36.7,0,0,Moderada (-3% a -5%),9.0,0.0,1.41,1.0,6.52,0.0,-6.43,1.0,9.91,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2022-06-13,ETF,-3.797,-2.066,1.848,32.4,3,0,Moderada (-3% a -5%),11.0,0.0,0.45,0.0,1.95,0.0,1.46,1.0,7.23,Alto (1.5-2.5x),Neutral (30-70),3-4 días bajando,ETF | Moderada (-3% a -5%)
SPY,2022-08-26,ETF,-3.385,-2.236,1.695,44.2,0,0,Moderada (-3% a -5%),160.0,0.0,-3.22,0.0,1.4,0.0,-9.75,0.0,-2.24,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2022-09-13,ETF,-4.348,-3.226,1.67,41.3,0,0,Moderada (-3% a -5%),141.0,0.0,-1.89,0.0,-7.18,0.0,-8.62,0.0,0.43,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2025-04-03,ETF,-4.928,-3.991,1.777,31.9,0,1,Moderada (-3% a -5%),29.0,0.0,-2.26,0.0,-1.92,1.0,5.6,1.0,15.42,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
SPY,2025-04-04,ETF,-5.854,-4.017,2.804,23.4,1,1,Fuerte (-5% a -10%),5.0,0.0,5.67,0.0,1.7,1.0,11.52,1.0,23.16,Muy alto (>2.5x),Sobrevendido (<30),1-2 días bajando,ETF | Fuerte (-5% a -10%)
SPY,2025-04-10,ETF,-4.382,-2.069,1.583,41.1,0,1,Moderada (-3% a -5%),15.0,0.0,0.35,1.0,4.97,1.0,7.58,1.0,19.32,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
QQQ,2016-01-07,ETF,-3.131,-2.673,1.616,29.9,5,1,Moderada (-3% a -5%),75.0,0.0,-0.76,0.0,-1.05,0.0,-6.44,1.0,4.13,Alto (1.5-2.5x),Sobrevendido (<30),5+ días bajando,ETF | Moderada (-3% a -5%)
QQQ,2016-01-13,ETF,-3.449,-2.718,1.729,28.2,0,1,Moderada (-3% a -5%),48.0,0.0,-1.03,0.0,0.1,0.0,-5.25,1.0,6.89,Alto (1.5-2.5x),Sobrevendido (<30),0 — caída aislada,ETF | Moderada (-3% a -5%)
QQQ,2016-01-15,ETF,-3.104,-2.263,2.068,30.7,0,1,Moderada (-3% a -5%),14.0,0.0,1.38,1.0,3.54,0.0,-0.6,1.0,10.31,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
QQQ,2016-02-05,ETF,-3.473,-2.217,1.237,34.0,3,1,Moderada (-3% a -5%),12.0,0.0,-0.1,1.0,5.26,1.0,7.03,1.0,8.08,Normal (0.8-1.5x),Neutral (30-70),3-4 días bajando,ETF | Moderada (-3% a -5%)
QQQ,2016-06-24,ETF,-4.119,-4.248,2.846,35.2,0,1,Moderada (-3% a -5%),14.0,0.0,3.63,1.0,6.37,1.0,8.98,1.0,12.47,Muy alto (>2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
QQQ,2018-02-05,ETF,-3.943,-4.484,2.646,35.0,2,2,Moderada (-3% a -5%),10.0,0.0,0.47,1.0,4.53,1.0,6.59,0.0,2.51,Muy alto (>2.5x),Neutral (30-70),1-2 días bajando,ETF | Moderada (-3% a -5%)
QQQ,2018-02-08,ETF,-4.219,-3.798,1.85,32.6,1,2,Moderada (-3% a -5%),6.0,1.0,7.98,1.0,9.59,1.0,12.84,1.0,8.51,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ETF | Moderada (-3% a -5%)
QQQ,2018-03-27,ETF,-3.236,-2.162,1.626,38.8,0,2,Moderada (-3% a -5%),21.0,0.0,0.41,0.0,0.75,0.0,-0.27,1.0,10.69,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
QQQ,2018-10-10,ETF,-4.398,-4.575,2.646,24.7,0,2,Moderada (-3% a -5%),160.0,0.0,3.24,0.0,-3.72,0.0,2.24,0.0,-6.84,Muy alto (>2.5x),Sobrevendido (<30),0 — caída aislada,ETF | Moderada (-3% a -5%)
QQQ,2018-10-24,ETF,-4.577,-3.643,1.487,29.6,1,1,Moderada (-3% a -5%),14.0,0.0,2.71,1.0,6.19,0.0,-3.01,0.0,-1.65,Normal (0.8-1.5x),Sobrevendido (<30),1-2 días bajando,ETF | Moderada (-3% a -5%)
QQQ,2018-12-04,ETF,-3.836,-2.074,1.277,46.7,0,0,Moderada (-3% a -5%),73.0,0.0,-0.4,0.0,-6.75,0.0,-5.46,1.0,5.63,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ETF | Moderada (-3% a -5%)
