ticker,fecha,tipo_activo,es_etf,ret_1d,zscore,vol_ratio,rsi_14,dias_consec,n_alcistas,spy_ret,idio_ret,es_sistematico,dist_low_52w,drop_norm_atr,mag_ord,ret_10d,target
JPM,2016-01-04,ACCION,0,-3.004,-2.057,1.686344851585157,41.34080951653025,2,1,-1.397972683482196,-1.6055460957630885,1,20.195126572235814,-2.94441944135363,2,-10.39,0
TSLA,2016-01-04,ACCION,0,-6.916,-2.41,2.3947384574911212,44.97218833075634,0,0,-1.397972683482196,-5.518410733862366,1,20.762165707824423,-13.23649767408616,3,-8.366,0
AMZN,2016-01-04,ACCION,0,-5.755,-3.231,2.1810599372926243,40.362386484970486,2,2,-1.397972683482196,-4.3573954298260045,1,121.98641571599455,-7.338020214791285,3,-9.813,0
XLE,2016-01-06,ETF,1,-3.849,-2.071,1.1002448629483654,35.30083338876965,0,0,-1.2614251118669095,-2.5879049080893335,1,0.0,-8.121046808786453,2,-8.282,0
AMZN,2016-01-07,ACCION,0,-3.906,-2.133,1.542720328653137,32.416571507635354,5,2,-2.399176253810109,-1.506617937647714,1,111.86269163553004,-4.762954923537373,2,-1.902,0
JPM,2016-01-07,ACCION,0,-4.044,-2.53,1.6963690412603925,30.96778651638641,1,1,-2.399176253810109,-1.6448097608290468,1,13.866045863933365,-3.9908193428472067,2,-5.509,0
QQQ,2016-01-07,ETF,1,-3.131,-2.673,1.6157127600703545,29.89357409263262,5,1,-2.399176253810109,-0.7321885806339079,1,7.499442236308269,-1.9853018679530048,2,-1.049,0
META,2016-01-07,ACCION,0,-4.904,-2.903,2.0339224966337976,33.80681995695582,0,2,-2.399176253810109,-2.505182421208652,1,32.23496477796194,-2.2129037562932585,2,0.02,0
AAPL,2016-01-07,ACCION,0,-4.22,-2.353,1.6878347414510262,22.125039852856744,2,0,-2.399176253810109,-1.821284104805787,1,0.0,-7.460840769580346,2,5.153,1
MSFT,2016-01-07,ACCION,0,-3.478,-2.007,1.5218803818469604,35.793889951937544,1,2,-2.399176253810109,-1.0790961616912953,1,32.649125360279285,-3.47611155566989,2,0.23,0
USO,2016-01-11,ETF,1,-5.612,-2.07,2.195211633860756,22.091796900690255,5,0,0.09899368211512272,-5.711240417118712,0,0.0,-1.7922322274954547,3,-3.027,0
GS,2016-01-13,ACCION,0,-4.055,-2.226,1.5057650519170016,26.496412042400237,1,0,-2.4940648656307296,-1.5612117306867956,1,0.0,-1.2108750083664888,2,-1.214,0
GOOGL,2016-01-13,ACCION,0,-3.457,-2.293,1.188073331281552,35.78999030850109,0,2,-2.4940648656307296,-0.9634200919592995,1,42.76899727798737,-3.92651376326289,2,3.993,1
QQQ,2016-01-13,ETF,1,-3.449,-2.718,1.7293550562771098,28.200393897919625,0,1,-2.4940648656307296,-0.9548488537836741,1,4.454978577664716,-1.8219134155389893,2,0.098,0
IWM,2016-01-13,ETF,1,-3.211,-2.443,1.7602481197889146,22.463362725124682,0,0,-2.4940648656307296,-0.7168335587525054,1,0.0,-1.6379323723540162,2,-0.687,0
AMZN,2016-01-13,ACCION,0,-5.839,-2.905,1.5934092238395268,28.775375745710676,0,2,-2.4940648656307296,-3.3451648086620818,1,102.75657910654591,-5.844652277628967,3,9.202,1
META,2016-01-13,ACCION,0,-3.955,-2.21,1.3941757798335115,32.69057152880046,0,2,-2.4940648656307296,-1.4608519530029618,1,28.88589602064814,-1.4277864698818197,2,14.323,1
NVDA,2016-01-15,ACCION,0,-5.441,-2.074,2.3846057056965146,25.159395653729177,2,2,-2.1466278646506187,-3.294625130799522,1,43.539783734993776,-199.92238190941075,3,8.078,1
QQQ,2016-01-15,ETF,1,-3.104,-2.263,2.067527534486998,30.73098330285434,0,1,-2.1466278646506187,-0.9570520533236704,1,3.3683875535769014,-1.2946613417011215,2,3.54,1
MSFT,2016-01-15,ACCION,0,-3.992,-2.105,1.742330255456798,36.47400470456248,0,2,-2.1466278646506187,-1.8450950326912574,1,29.648848975551743,-3.1226119063434217,2,7.296,1
XOM,2016-01-20,ACCION,0,-4.215,-2.244,1.8176027596332678,38.50278335511429,2,0,-1.2815051685020395,-2.93311671377996,1,7.434131180347295,-2.840932915787181,2,7.242,1
USO,2016-01-25,ETF,1,-7.875,-2.454,0.9813899289054029,32.43100648265467,0,0,-1.5116438691265888,-6.363226248050868,1,3.6407791149022497,-1.9328230033264346,3,1.171,1
BAC,2016-01-25,ACCION,0,-4.425,-2.049,1.6013199227940513,18.76117482420976,0,1,-1.5116438691265888,-2.913118677161453,1,0.0,-9.129324344807774,2,-5.324,0
XLE,2016-01-25,ETF,1,-4.665,-2.069,1.0545323979911012,37.803343874352066,0,0,-1.5116438691265888,-3.152875773434949,1,2.646299605802054,-5.658899395105242,2,4.723,1
AAPL,2016-01-27,ACCION,0,-6.571,-3.249,2.135948623089181,33.584893070131685,0,0,-1.0883296111697471,-5.482330086610288,1,0.0,-7.893951143559132,3,1.457,1
AMZN,2016-01-29,ACCION,0,-7.61,-3.006,2.191496112369868,43.397987308313276,0,2,2.4377486732005904,-10.04772600236491,0,65.5713260605925,-5.273718156726828,3,-13.615,0
UNG,2016-02-01,ETF,1,-7.303,-2.236,0.9588772817833663,44.90570908510547,0,0,-0.03614820633796034,-7.266559712079623,0,13.728320791781215,-1.2987541805115457,3,-10.673,0
GS,2016-02-02,ACCION,0,-4.98,-2.326,1.1948469600090803,36.670197561532184,1,0,-1.802203697628535,-3.177469390302468,1,0.3837684251690039,-1.0752303692922407,2,-0.501,0
TSLA,2016-02-02,ACCION,0,-7.19,-2.734,1.3830423050066294,30.882836472950842,0,0,-1.802203697628535,-5.38779844007612,1,0.0,-10.169737465040873,3,-7.714,0
