ticker,ret,dias,bucket,recuperado
SPY,-1.8059894450537683,3.0,Leve (-1% a -3%),True
SPY,-1.3190555978400909,9.0,Leve (-1% a -3%),True
SPY,-1.282436888857752,6.0,Leve (-1% a -3%),True
SPY,-1.2574849477957062,4.0,Leve (-1% a -3%),True
SPY,-1.4064218990088029,12.0,Leve (-1% a -3%),True
SPY,-1.6221787304591784,6.0,Leve (-1% a -3%),True
SPY,-1.465374894855731,15.0,Leve (-1% a -3%),True
SPY,-1.1503449146453293,5.0,Leve (-1% a -3%),True
SPY,-1.0020356701676336,1.0,Leve (-1% a -3%),True
SPY,-1.145164923034292,3.0,Leve (-1% a -3%),True
SPY,-1.075174115692601,28.0,Leve (-1% a -3%),True
SPY,-2.0970544835369753,15.0,Leve (-1% a -3%),True
SPY,-1.6777611504466883,5.0,Leve (-1% a -3%),True
SPY,-1.0372185170272608,5.0,Leve (-1% a -3%),True
SPY,-2.0880917151575806,64.0,Leve (-1% a -3%),True
SPY,-1.176756007304458,1.0,Leve (-1% a -3%),True
SPY,-2.984733021616981,14.0,Leve (-1% a -3%),True
SPY,-1.5136834139197974,4.0,Leve (-1% a -3%),True
SPY,-1.3371933493518395,6.0,Leve (-1% a -3%),True
SPY,-1.634150967773862,19.0,Leve (-1% a -3%),True
SPY,-1.29794990400659,13.0,Leve (-1% a -3%),True
SPY,-2.5097587304596436,4.0,Leve (-1% a -3%),True
SPY,-1.395975711903441,6.0,Leve (-1% a -3%),True
SPY,-1.1228211142704558,3.0,Leve (-1% a -3%),True
SPY,-1.0204265937462487,138.0,Leve (-1% a -3%),True
SPY,-1.4003087330594077,1.0,Leve (-1% a -3%),True
SPY,-1.938108414324058,5.0,Leve (-1% a -3%),True
SPY,-1.523806439726949,12.0,Leve (-1% a -3%),True
SPY,-1.7815104720287356,5.0,Leve (-1% a -3%),True
SPY,-1.0003105178722715,89.0,Leve (-1% a -3%),True
SPY,-1.397972683482196,73.0,Leve (-1% a -3%),True
SPY,-1.2614251118669095,65.0,Leve (-1% a -3%),True
SPY,-2.399176253810109,55.0,Leve (-1% a -3%),True
SPY,-1.097637628855741,45.0,Leve (-1% a -3%),True
SPY,-2.4940648656307296,16.0,Leve (-1% a -3%),True
SPY,-2.1466278646506187,14.0,Leve (-1% a -3%),True
SPY,-1.2815051685020395,2.0,Leve (-1% a -3%),True
SPY,-1.5116438691265888,4.0,Leve (-1% a -3%),True
SPY,-1.0883296111697471,2.0,Leve (-1% a -3%),True
SPY,-1.802203697628535,20.0,Leve (-1% a -3%),True
SPY,-1.9049923073122699,12.0,Leve (-1% a -3%),True
SPY,-1.3461199934825085,8.0,Leve (-1% a -3%),True
SPY,-1.3007939304554461,1.0,Leve (-1% a -3%),True
SPY,-1.262957613757576,2.0,Leve (-1% a -3%),True
SPY,-1.0917798314837412,3.0,Leve (-1% a -3%),True
SPY,-1.1965376848700804,6.0,Leve (-1% a -3%),True
SPY,-1.791021333870857,2.0,Leve (-1% a -3%),True
SPY,-2.3934766752824355,67.0,Leve (-1% a -3%),True
SPY,-1.4375276091729172,8.0,Leve (-1% a -3%),True
SPY,-1.2629491036540763,29.0,Leve (-1% a -3%),True
SPY,-1.2839668957422723,34.0,Leve (-1% a -3%),True
SPY,-1.7744083474527272,7.0,Leve (-1% a -3%),True
SPY,-1.411547006950853,21.0,Leve (-1% a -3%),True
SPY,-1.5590946083497648,14.0,Leve (-1% a -3%),True
SPY,-1.0256934696960096,176.0,Leve (-1% a -3%),True
SPY,-2.176973869227372,160.0,Leve (-1% a -3%),True
SPY,-1.248681107200722,10.0,Leve (-1% a -3%),True
SPY,-1.0129683432429926,9.0,Leve (-1% a -3%),True
SPY,-1.4540793573465827,4.0,Leve (-1% a -3%),True
SPY,-1.3530318493575555,77.0,Leve (-1% a -3%),True
SPY,-2.4997056906654325,49.0,Leve (-1% a -3%),True
SPY,-2.1314725288808734,3.0,Leve (-1% a -3%),True
SPY,-1.701173839856751,9.0,Leve (-1% a -3%),True
SPY,-2.1584463181037683,2.0,Leve (-1% a -3%),True
SPY,-2.228590428235755,6.0,Leve (-1% a -3%),True
SPY,-1.3467222137436896,13.0,Leve (-1% a -3%),True
SPY,-1.1500967801832185,1.0,Leve (-1% a -3%),True
SPY,-1.3612417916529673,11.0,Leve (-1% a -3%),True
SPY,-2.2026822515170297,5.0,Leve (-1% a -3%),True
SPY,-1.4440981800790342,20.0,Leve (-1% a -3%),True
SPY,-1.7587677782019084,5.0,Leve (-1% a -3%),True
SPY,-1.86854097260587,21.0,Leve (-1% a -3%),True
SPY,-1.6914733377591529,9.0,Leve (-1% a -3%),True
SPY,-1.8505861915249389,8.0,Leve (-1% a -3%),True
SPY,-2.3236226748879707,55.0,Leve (-1% a -3%),True
SPY,-1.8465084142817112,35.0,Leve (-1% a -3%),True
SPY,-1.9618150777755416,25.0,Leve (-1% a -3%),True
SPY,-1.4975853858674615,19.0,Leve (-1% a -3%),True
SPY,-1.6277957564358125,11.0,Leve (-1% a -3%),True
SPY,-2.048956360661225,5.0,Leve (-1% a -3%),True
SPY,-2.642301585203799,2.0,Leve (-1% a -3%),True
SPY,-2.3862800555356056,1.0,Leve (-1% a -3%),True
SPY,-1.3510353514387674,8.0,Leve (-1% a -3%),True
SPY,-1.9245650149423588,10.0,Leve (-1% a -3%),True
SPY,-1.669992686815358,43.0,Leve (-1% a -3%),True
SPY,-2.5130254307572875,28.0,Leve (-1% a -3%),True
SPY,-1.2219011256375367,15.0,Leve (-1% a -3%),True
SPY,-1.3475365802401273,4.0,Leve (-1% a -3%),True
SPY,-1.0940563155931948,43.0,Leve (-1% a -3%),True
SPY,-1.2173724976946687,1.0,Leve (-1% a -3%),True
SPY,-2.956781221527749,15.0,Leve (-1% a -3%),True
SPY,-2.5687148298433216,6.0,Leve (-1% a -3%),True
SPY,-1.1894673415144164,14.0,Leve (-1% a -3%),True
SPY,-1.766474468596524,2.0,Leve (-1% a -3%),True
SPY,-1.5524824071777132,2.0,Leve (-1% a -3%),True
SPY,-1.6029557057581467,8.0,Leve (-1% a -3%),True
SPY,-1.815800269020329,4.0,Leve (-1% a -3%),True
SPY,-1.029843461727098,167.0,Leve (-1% a -3%),True
SPY,-2.8632361890125635,1.0,Leve (-1% a -3%),True
SPY,-1.6531187030084715,82.0,Leve (-1% a -3%),True
SPY,-2.5568298568365844,1.0,Leve (-1% a -3%),True
SPY,-2.9785516476592,3.0,Leve (-1% a -3%),True
SPY,-1.4905121299972568,6.0,Leve (-1% a -3%),True
